CPU Utilization,Response Time,Class Name
23,1,'High'
18.727,1,'High'
17.9,1,'High'
19.818,1,'High'
22.909,1,'High'
19.1,1,'High'
18.727,1,'High'
17.5,1,'High'
18.727,1,'High'
21.727,1,'High'
17.8,1,'High'
18.364,1,'High'
18.818,1,'High'
18.4,1,'High'
18.182,1,'High'
18.364,1,'High'
25.3,1,'Low'
18.4,1,'High'
22.091,1,'High'
23.727,1,'High'
22.4,1,'High'
25.273,1,'Low'
28.7,1,'Low'
23.636,1,'High'
21.4,1,'High'
19.091,1,'High'
17.545,1,'High'
19.2,1,'High'
19.545,1,'High'
19.545,1,'High'
19.7,1,'High'
19.545,1.182,'High'
22.182,1,'High'
23.2,1,'High'
19.273,1,'High'
18.545,1,'High'
18.4,1,'High'
18,1,'High'
23.727,1.091,'High'
20.4,1,'High'
19,1,'High'
17.7,1,'High'
18,1,'High'
18.636,1,'High'
18.3,1,'High'
17.545,1.091,'High'
18.636,1,'High'
17.7,1,'High'
17.909,1,'High'
19.727,1,'High'
18,1,'High'
17.636,1,'High'
17.1,1,'High'
21,1,'High'
18.909,1,'High'
18.7,1,'High'
21.364,1.091,'High'
22.818,1,'High'
23.6,1,'High'
21.364,1,'High'
18.455,1,'High'
17.5,1,'High'
18,1,'High'
23.545,1,'High'
18.2,1,'High'
18,1,'High'
18.3,1.4,'High'
21.636,1,'High'
19.091,1,'High'
18.8,1,'High'
19.182,1,'High'
18.545,1,'High'
26.1,1,'Low'
18,1,'High'
18.818,1,'High'
18.9,1,'High'
17.727,1,'High'
18.1,1,'High'
18.818,1,'High'
19.909,1,'High'
20.3,1,'High'
24.727,1,'High'
17.818,1,'High'
17.9,1,'High'
18.545,1,'High'
26.273,1,'Low'
18.5,1,'High'
18.909,1,'High'
19,1,'High'
18.6,1.2,'High'
21.182,1,'High'
28.5,1,'Low'
27.182,1.273,'Low'
29.2,1,'Low'
21.727,1,'High'
23.818,1,'High'
24.7,1.1,'High'
19.273,1,'High'
18.818,1,'High'
25.7,1.2,'Low'
18.273,1,'High'
18.545,1.818,'High'
18.1,1,'High'
17.818,1,'High'
21.182,1,'High'
24.6,1,'High'
18.364,1.273,'High'
18,1,'High'
19.455,1,'High'
18.636,1,'High'
17.4,1,'High'
18.818,1.091,'High'
17.727,1,'High'
20.5,1.1,'High'
20.818,1,'High'
24.455,1,'High'
23.5,1,'High'
25.091,1,'Low'
25.5,1,'Low'
28,1,'Low'
24.273,1,'High'
19.3,1,'High'
18.091,1,'High'
18.182,1,'High'
18.5,1.2,'High'
18.727,1,'High'
18.2,1,'High'
18.273,1,'High'
19.909,1,'High'
23.4,1,'High'
17.818,1,'High'
19,1,'High'
26.2,1,'Low'
18.727,1,'High'
19.818,1,'High'
18.5,1.1,'High'
22.909,1,'High'
28.8,1,'Low'
21,1,'High'
23.818,1,'High'
25.2,1,'Low'
24.636,1.091,'High'
22.545,1.545,'High'
29.1,1,'Low'
20.909,1,'High'
19.4,1,'High'
21.091,1,'High'
17.9,1,'High'
17.909,1,'High'
29.5,1,'Low'
17.545,1,'High'
19.2,1.6,'High'
21.091,1,'High'
26.9,1,'Low'
18.636,1.182,'High'
23.182,1,'High'
20,1,'High'
17.091,1,'High'
17.8,1,'High'
28.545,1,'Low'
24.1,1,'High'
23.727,1.091,'High'
24,1,'High'
27.4,1,'Low'
19.545,1,'High'
27.8,1,'Low'
23.182,1,'High'
26.4,1,'Low'
21.273,1,'High'
18.545,1,'High'
19,1,'High'
18.455,1,'High'
22.545,1,'High'
18.5,1,'High'
17.636,1,'High'
22.182,1,'High'
20.4,1,'High'
23.636,1,'High'
18.1,1,'High'
17.909,1,'High'
18.455,1,'High'
18,1,'High'
18,1,'High'
25.455,1,'Low'
20.3,1,'High'
19.455,1,'High'
19.364,1,'High'
27.9,1,'Low'
19.455,1,'High'
27.9,1,'Low'
25.545,1,'Low'
22.636,1,'High'
19.5,1,'High'
19.727,1.091,'High'
18,1.182,'High'
26.4,1,'Low'
17.636,1,'High'
19,1,'High'
18.8,1.1,'High'
18,1,'High'
20.455,1,'High'
24.4,1,'High'
17.636,1,'High'
18.1,1,'High'
19.182,1,'High'
18.364,1,'High'
19.1,1,'High'
16.182,1,'High'
18.727,1,'High'
18,1,'High'
18.455,1,'High'
25.182,1,'Low'
17.7,1,'High'
17.727,1,'High'
20.818,1,'High'
